timestamp ba_x ba_y ba_z bg_x bg_y bg_z
328.516000 0.03868201 0.01970626 -0.01200020 -0.00013081 0.00036770 0.00001071
331.048000 0.19721647 0.03329597 -0.00109687 0.00013134 0.00010397 0.00007026
331.344000 0.45199911 0.07138248 0.01029719 0.00016978 0.00016519 -0.00016273
331.764000 0.77406623 0.12122144 0.03464328 0.00019538 0.00014613 -0.00019234
332.348000 1.03585532 0.16943221 0.06197799 0.00020327 0.00019619 -0.00021463
332.456000 1.22814022 0.18880308 0.08293107 0.00018499 0.00021392 -0.00017357
332.868000 1.40032366 0.22139091 0.11032030 0.00020903 0.00016626 -0.00029034
333.072000 1.66238179 0.29971917 0.15401183 0.00015442 0.00015609 -0.00028133
333.516000 1.83107165 0.37005890 0.18743672 0.00012754 0.00014323 -0.00023484
334.712000 1.85832122 0.39600740 0.19463456 0.00025345 0.00019752 -0.00024270
335.296000 1.86175625 0.33990756 0.19491947 0.00024246 0.00026954 -0.00025128
335.792000 1.87095379 0.28280651 0.19635546 0.00015173 0.00020919 -0.00022106
337.856000 1.86651945 0.19024190 0.20054506 0.00012667 0.00013237 -0.00020888
338.080000 1.86469874 0.15145918 0.19817717 0.00010681 0.00010505 -0.00017875
338.800000 1.86679440 0.09978469 0.19977740 0.00011298 0.00008221 -0.00017408
339.048000 1.85723351 0.09538789 0.19621430 0.00009116 0.00013783 -0.00016298
339.872000 1.85368451 0.10894524 0.19526861 0.00011704 0.00013414 -0.00016612
340.260000 1.85194095 0.09141818 0.19530543 0.00010809 0.00012783 -0.00017385
340.848000 1.85078549 0.15896144 0.19352538 0.00007771 0.00014702 -0.00017241
340.984000 1.81510281 0.18655078 0.18665537 0.00006288 0.00014441 -0.00018272
341.996000 1.83329070 0.32146709 0.18926994 -0.00000559 0.00018947 -0.00018287
342.756000 1.82184262 0.39554594 0.18848196 -0.00004334 0.00015821 -0.00019132
343.308000 1.78139535 0.47010059 0.18456615 -0.00004587 0.00012929 -0.00022623
343.792000 1.73454131 0.47718371 0.17742005 -0.00005702 0.00003904 -0.00026897
344.588000 1.73073282 0.49328864 0.17748844 -0.00003112 0.00004934 -0.00027545
345.132000 1.71993701 0.46924956 0.17396470 -0.00004788 0.00007403 -0.00025530
345.792000 1.70955950 0.35687157 0.16515061 -0.00006480 0.00007357 -0.00023758
346.004000 1.82450495 0.22556258 0.17776503 -0.00007390 0.00007656 -0.00022125
346.224000 1.66589943 0.61279584 0.16425167 -0.00008058 0.00007985 -0.00022967
346.540000 1.69621268 0.47692489 0.16556779 -0.00008678 0.00011267 -0.00023078
348.072000 1.54622265 0.80285789 0.14370026 -0.00006899 0.00021431 -0.00021939
348.480000 1.83393369 0.44554209 0.17555447 -0.00006706 0.00017496 -0.00022206
349.148000 1.66278086 0.54547379 0.15621305 -0.00005577 0.00015691 -0.00023326
349.664000 1.81755633 0.40183837 0.17616446 -0.00005948 0.00015600 -0.00023829
350.192000 1.71511783 0.58849133 0.16644775 -0.00007224 0.00014707 -0.00023807
350.820000 1.81280046 0.41554221 0.17556161 -0.00007920 0.00013238 -0.00023905
351.040000 2.00898910 -0.23743283 0.19037215 -0.00009045 0.00009566 -0.00024191
351.340000 1.85582798 -0.27456795 0.16710874 -0.00010244 0.00007841 -0.00024278
351.988000 1.83347299 -0.26128988 0.16363179 -0.00008631 0.00006851 -0.00023817
352.420000 1.83190136 -0.24809302 0.16394331 -0.00008245 0.00007379 -0.00024246
353.312000 1.81363226 -0.20003267 0.16281001 -0.00007817 0.00006292 -0.00024318
353.900000 1.80764490 -0.18385045 0.16246164 -0.00007305 0.00008385 -0.00024344
354.728000 1.78194532 -0.14664367 0.15950364 -0.00004986 0.00011138 -0.00024321
355.784000 1.75883317 -0.09450156 0.15770700 -0.00005495 0.00010926 -0.00025231
356.052000 1.76995731 -0.09342040 0.15978162 -0.00006318 0.00010471 -0.00024965
356.768000 1.71724283 0.02449165 0.15567370 -0.00007482 0.00008552 -0.00024807
357.120000 1.76133788 -0.03818666 0.16080571 -0.00008434 0.00010473 -0.00024672
